Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Publisher
07/25/2020,95,5,14,16,27,13,6,5,10,4,0,52,42,1,18,5,30,21,4,17,0,0,0,1,1,1,1,1,0,2,3,0,2,0,2,1,0,0,City of Chicago
05/25/2020,251,23,7,34,34,39,43,50,27,17,0,122,127,2,72,5,69,42,3,60,0,0,1,0,4,4,7,7,0,11,12,0,6,0,10,6,1,0,City of Chicago
04/16/2020,683,30,8,119,115,119,123,95,63,41,0,319,355,9,232,15,202,94,28,112,0,0,0,2,2,6,8,12,0,14,16,0,5,3,15,7,0,0,City of Chicago
05/02/2020,719,51,25,142,126,154,142,75,40,15,0,343,372,4,354,9,110,53,21,172,0,0,1,1,9,14,11,15,0,21,30,0,11,3,24,12,1,0,City of Chicago
05/07/2020,940,48,58,181,193,171,146,118,40,33,0,480,449,11,428,10,122,90,48,242,0,0,1,2,8,14,9,14,0,20,28,0,16,3,20,8,0,1,City of Chicago
06/03/2020,279,21,24,59,47,41,44,32,18,14,0,150,128,1,107,3,68,26,18,57,0,2,0,0,0,1,9,9,0,10,11,0,9,0,8,4,0,0,City of Chicago
04/29/2020,1151,42,54,210,230,219,202,117,61,58,0,533,587,31,511,17,170,115,47,291,0,1,1,4,4,5,8,19,0,20,22,0,16,3,13,10,0,0,City of Chicago
07/14/2020,285,3,44,71,53,45,34,22,14,2,0,158,124,3,124,3,59,51,9,39,0,0,0,0,1,0,1,1,0,3,0,0,2,0,0,0,0,1,City of Chicago
07/16/2020,268,2,25,82,53,42,27,21,9,9,0,137,127,4,87,1,70,49,11,50,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,City of Chicago
06/02/2020,248,24,14,33,44,46,32,34,18,27,0,118,107,23,84,11,50,18,10,75,0,0,1,0,3,3,4,13,0,12,12,0,15,2,4,3,0,0,City of Chicago
04/10/2020,570,31,22,80,100,98,108,85,42,35,0,253,308,9,166,25,209,76,27,67,0,0,1,2,3,3,9,13,0,10,21,0,3,2,23,3,0,0,City of Chicago
04/21/2020,873,35,20,151,164,158,150,108,56,66,0,438,427,8,355,13,204,118,37,146,0,1,0,2,0,7,11,14,0,14,21,0,11,2,18,4,0,0,City of Chicago
05/08/2020,927,44,52,170,192,196,154,85,44,34,0,445,464,18,436,16,136,79,42,218,0,0,0,1,4,13,12,14,0,21,23,0,15,0,15,14,0,0,City of Chicago
07/13/2020,303,3,33,80,63,43,33,30,7,14,0,168,132,3,115,7,84,42,9,46,0,1,0,0,0,1,0,1,0,1,2,0,1,0,1,1,0,0,City of Chicago
07/20/2020,374,5,49,89,84,55,44,35,14,4,0,193,178,3,132,9,78,63,27,65,0,0,1,1,0,2,1,0,0,2,3,0,3,0,1,1,0,0,City of Chicago
06/27/2020,127,5,11,38,21,24,13,10,7,3,0,63,63,1,42,2,33,19,6,25,0,0,0,0,0,1,2,2,0,4,1,0,1,0,3,1,0,0,City of Chicago
04/20/2020,989,39,23,158,182,210,194,123,57,41,1,478,501,10,402,26,248,116,44,153,0,0,1,1,4,6,9,18,0,15,24,0,11,2,15,11,0,0,City of Chicago
03/25/2020,368,5,2,51,71,72,83,33,36,20,0,170,197,1,49,10,184,85,17,23,0,0,1,0,1,1,0,2,0,3,2,0,1,0,3,1,0,0,City of Chicago
