Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
04/08/2020,693,35,11,81,99,104,154,129,68,47,0,312,340,41,169,21,295,100,33,75,0,0,0,1,6,8,9,11,0,13,22,0,2,2,21,10,0,0
06/10/2020,207,9,8,48,39,27,33,26,18,8,0,113,88,6,63,3,37,25,9,70,0,0,1,1,2,0,4,1,0,3,6,0,4,1,4,0,0,0
06/17/2020,150,18,10,41,23,22,18,17,10,9,0,67,81,2,43,2,28,24,5,48,0,0,0,2,3,5,5,3,0,9,9,0,9,1,3,5,0,0
06/19/2020,133,13,13,40,25,14,21,15,3,2,0,71,62,0,40,1,33,13,8,38,0,0,0,1,4,1,2,5,0,6,7,0,5,0,3,5,0,0
05/03/2020,452,42,10,98,74,75,79,61,28,27,0,204,236,12,186,8,101,36,20,101,0,0,0,2,4,12,12,12,0,19,23,0,19,0,15,7,1,0
06/21/2020,9,0,1,1,2,2,1,1,1,0,0,7,2,0,0,0,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2020,322,22,2,33,36,61,70,63,33,24,0,150,172,0,70,14,140,41,19,38,0,0,0,3,4,4,4,7,0,13,9,0,3,1,14,4,0,0
06/02/2020,247,23,14,33,43,45,32,34,20,26,0,114,110,23,76,9,49,18,12,83,0,0,0,0,3,3,4,13,0,12,11,0,14,2,4,3,0,0
06/03/2020,275,20,24,59,46,39,43,31,18,15,0,149,125,1,98,3,66,22,21,65,0,2,0,0,0,1,8,9,0,9,11,0,8,0,7,5,0,0
05/20/2020,768,29,56,207,131,138,106,75,37,16,2,397,360,11,349,4,138,58,23,196,0,1,1,1,6,10,4,6,0,7,22,0,15,3,7,4,0,0
05/25/2020,252,21,7,35,33,40,43,50,27,17,0,121,127,4,71,6,63,40,3,69,0,0,1,0,3,3,7,7,0,10,11,0,5,0,9,6,1,0
06/07/2020,109,17,2,29,29,15,13,9,7,5,0,52,57,0,41,2,20,10,4,32,0,0,1,2,1,7,1,5,0,5,12,0,9,0,6,2,0,0
